City,Latitude,Longitude,Date,Year,Month,Month_Name,Climate_Type,Elevation_m,Rainfall_mm,Temperature_C,Humidity_pct,SPI_1M,SPI_3M,SPI_6M,SPI_12M,SPI_1M_Class,SPI_3M_Class,SPI_6M_Class,SPI_12M_Class,Year_Month,Drought_Intensity,Wetness_Intensity,Date_String
Berlin,52.52,13.405,2015-01-01,2015,1,January,Oceanic,34,71.56,19.6,72,-0.017381001971221846,,,,Near Normal,No Data,No Data,No Data,2015-01,0.017381001971221846,0.0,2015-01-01
Berlin,52.52,13.405,2015-02-01,2015,2,February,Oceanic,34,129.56,31.4,88,0.6797523542783286,,,,Slightly Wet,No Data,No Data,No Data,2015-02,0.0,0.6797523542783286,2015-02-01
Berlin,52.52,13.405,2015-03-01,2015,3,March,Oceanic,34,24.58,15.4,61,-0.9933456314780672,-0.5597991789670735,,,Slightly Dry,Slightly Dry,No Data,No Data,2015-03,0.9933456314780672,0.0,2015-03-01
Berlin,52.52,13.405,2015-04-01,2015,4,April,Oceanic,34,177.73,15.1,62,1.1135250512231276,0.5976159622527965,,,Moderately Wet,Slightly Wet,No Data,No Data,2015-04,0.0,1.1135250512231276,2015-04-01
Berlin,52.52,13.405,2015-05-01,2015,5,May,Oceanic,34,100.62,-3.0,57,0.3659313135370398,0.3101275709936483,,,Near Normal,Near Normal,No Data,No Data,2015-05,0.0,0.3659313135370398,2015-05-01
Berlin,52.52,13.405,2015-06-01,2015,6,June,Oceanic,34,89.87,-3.6,84,0.23410669703950246,0.9362305927695832,0.24864596117303805,,Near Normal,Slightly Wet,Near Normal,No Data,2015-06,0.0,0.23410669703950246,2015-06-01
Berlin,52.52,13.405,2015-07-01,2015,7,July,Oceanic,34,117.17,17.0,89,0.5516980184262563,0.35832100292834934,0.5648592864549885,,Slightly Wet,Near Normal,Slightly Wet,No Data,2015-07,0.0,0.5516980184262563,2015-07-01
Berlin,52.52,13.405,2015-08-01,2015,8,August,Oceanic,34,124.96,12.5,99,0.6331831039892998,0.5988693064973019,0.533658313835714,,Slightly Wet,Slightly Wet,Slightly Wet,No Data,2015-08,0.0,0.6331831039892998,2015-08-01
Berlin,52.52,13.405,2015-09-01,2015,9,September,Oceanic,34,14.36,28.6,91,-1.389802845044564,-0.19208097609338592,0.4637992292305455,,Moderately Dry,Near Normal,Near Normal,No Data,2015-09,1.389802845044564,0.0,2015-09-01
Berlin,52.52,13.405,2015-10-01,2015,10,October,Oceanic,34,136.52,1.4,63,0.7482139703706688,0.02400316299033342,0.17415904217021527,,Slightly Wet,Near Normal,Near Normal,No Data,2015-10,0.0,0.7482139703706688,2015-10-01
Berlin,52.52,13.405,2015-11-01,2015,11,November,Oceanic,34,48.39,-4.0,85,-0.4097173723416169,-0.9037321893344362,-0.2132226960018083,,Near Normal,Slightly Dry,Near Normal,No Data,2015-11,0.4097173723416169,0.0,2015-11-01
Berlin,52.52,13.405,2015-12-01,2015,12,December,Oceanic,34,142.79,13.0,42,0.807980220180087,0.5572398885309144,0.17911870540212255,0.19751045828133185,Slightly Wet,Slightly Wet,Near Normal,Near Normal,2015-12,0.0,0.807980220180087,2015-12-01
Berlin,52.52,13.405,2016-01-01,2016,1,January,Oceanic,34,164.51,4.5,85,1.0028512935222942,0.8220878601930772,0.5105005968414739,0.640472686079399,Moderately Wet,Slightly Wet,Slightly Wet,Slightly Wet,2016-01,0.0,1.0028512935222942,2016-01-01
Berlin,52.52,13.405,2016-02-01,2016,2,February,Oceanic,34,160.79,-3.0,47,0.970695696813561,1.76677920915529,0.750536604905518,0.7844733641805778,Slightly Wet,Very Wet,Slightly Wet,Slightly Wet,2016-02,0.0,0.970695696813561,2016-02-01
Berlin,52.52,13.405,2016-03-01,2016,3,March,Oceanic,34,110.5,24.0,83,0.47905593590404755,1.5119607448743564,1.3553731384737828,1.1692541592279033,Near Normal,Very Wet,Moderately Wet,Moderately Wet,2016-03,0.0,0.47905593590404755,2016-03-01
Berlin,52.52,13.405,2016-04-01,2016,4,April,Oceanic,34,104.03,-0.5,72,0.40577462151379295,0.9997865013000309,1.1568518673691661,0.8401988625090518,Near Normal,Slightly Wet,Moderately Wet,Slightly Wet,2016-04,0.0,0.40577462151379295,2016-04-01
Berlin,52.52,13.405,2016-05-01,2016,5,May,Oceanic,34,28.58,19.3,68,-0.8724341465305108,-0.3479905862507975,1.0329672037920683,0.506579519980643,Slightly Dry,Near Normal,Moderately Wet,Slightly Wet,2016-05,0.8724341465305108,0.0,2016-05-01
Berlin,52.52,13.405,2016-06-01,2016,6,June,Oceanic,34,155.07,6.2,90,0.9203130815860157,0.15125939383897807,1.110023582030716,0.8090494853165245,Slightly Wet,Near Normal,Moderately Wet,Slightly Wet,2016-06,0.0,0.9203130815860157,2016-06-01
Berlin,52.52,13.405,2016-07-01,2016,7,July,Oceanic,34,54.28,1.9,71,-0.29928930508082924,-0.4099053977068269,0.38455866893095936,0.5174730227063552,Near Normal,Near Normal,Near Normal,Slightly Wet,2016-07,0.29928930508082924,0.0,2016-07-01
